serial#,Date,DOY,4 Tav1,4 Tav2,6 VPDav,6 SWC,6 GRav,6 GRmx,4 IG 8d,4 GPPec,4 GPPm1,4 FPARm,6 Tav,6 Tmax,6 RHmin,6 VPDav,6 SWCav,6 GRav,6 GRmax,6 IG 8d,6 GPPm,6 FPARm,5 Tav,5 Tmax,5 RHmin,5 VPDav,5 IG 8d,5 GPPm,5 FPARm
11,2017-12-19,353,18.9,19.2,2.067,0.0127,356.2,457.8,10.41,5.47,7.30,0.21,12.5,22.5,11.3,1.1,0.068,384.2,589.4,23.45,6.10,0.1,11.1,20.6,15.8,0.9,,8.00,0.24
12,2017-12-27,361,16.6,24.6,3.135,0.0123,377.1,463.9,6.58,2.92,4.10,0.28,16.9,27.9,10.9,1.6,0.068,411.0,596.9,,3.40,0.22,15.5,26.0,14.1,1.4,,4.60,0.27
13,2018-01-01,1,20.7,23.3,2.050,0.0128,295.3,398.3,,6.58,3.40,0.13,17.9,26.1,24.9,1.3,0.069,328.3,556.4,,7.40,0.17,17.0,25.3,27.9,1.2,,5.50,0.19
14,2018-01-09,9,20.0,20.3,1.888,0.0940,343.9,474.6,5.60,3.43,7.30,0.23,15.1,23.3,39.4,0.8,0.284,375.3,592.8,,8.90,0.22,14.0,21.8,44.6,0.7,,6.70,0.21
15,2018-01-17,17,19.0,19.0,2.024,0.0733,474.8,589.5,15.00,11.64,11.40,0.28,13.0,21.9,28.0,0.9,0.247,449.4,662.4,,11.30,0.28,11.8,20.2,33.2,0.8,15.12,11.30,0.28
16,2018-01-25,25,15.5,23.0,2.887,0.0572,525.7,638.0,15.70,15.03,12.70,0.33,16.7,26.1,16.1,1.5,0.220,521.0,709.4,,10.60,0.29,15.4,24.7,19.8,1.3,14.17,13.50,0.35
17,2018-02-02,33,21.3,24.8,3.075,0.0431,569.2,663.8,18.11,16.65,12.70,0.3,17.5,27.8,16.1,1.6,0.182,553.7,750.0,,11.90,0.28,16.0,26.5,20.0,1.4,,14.60,0.35
18,2018-02-10,41,20.6,15.4,1.158,0.0468,380.8,531.7,17.81,14.63,14.40,0.3,13.2,18.9,51.1,0.5,0.157,405.3,654.5,,17.60,0.37,12.4,19.1,55.3,0.5,,16.10,0.34
19,2018-02-18,49,15.0,,1.132,,,,15.35,19.90,15.70,0.29,8.3,15.6,36.9,0.5,0.149,521.2,919.6,,17.30,0.33,7.8,15.4,40.6,0.4,,17.80,0.34
20,2018-02-26,57,10.8,15.3,1.100,0.0581,676.7,676.8,13.27,20.41,18.90,0.32,9.6,16.7,42.6,0.4,0.159,593.2,922.5,,20.70,0.39,9.0,17.4,45.3,0.4,,20.80,0.36
21,2018-03-06,65,13.2,20.4,1.763,0.0564,678.4,739.6,13.07,23.41,18.10,0.38,15.5,23.1,39.6,0.8,0.147,512.9,799.5,33.75,18.20,0.39,15.2,23.8,41.2,0.8,28.18,17.80,0.38
22,2018-03-14,73,18.0,17.2,1.454,0.0507,611.4,815.1,17.26,21.45,23.80,0.37,12.4,19.1,40.1,0.6,0.136,613.3,976.3,29.80,22.80,0.36,12.2,20.2,42.3,0.6,20.50,24.80,0.39
23,2018-03-22,81,15.9,19.0,1.597,0.0345,647.9,823.6,15.96,21.59,20.60,0.33,13.8,20.9,36.1,0.8,0.129,629.2,1007.5,,19.10,0.31,13.7,22.3,37.1,0.8,,19.20,0.31
24,2018-03-30,89,17.5,21.1,1.682,0.0345,767.5,894.7,,23.63,19.40,0.45,15.8,23.9,38.9,0.8,0.119,719.6,1020.3,,19.20,0.38,16.1,25.9,37.6,0.9,,20.60,0.38
25,2018-04-07,97,18.6,25.5,2.825,0.0255,793.6,924.3,,18.97,18.50,0.26,19.0,27.8,24.7,1.5,0.114,772.3,1104.4,,19.90,0.28,19.3,29.9,24.4,1.5,,23.40,0.33
26,2018-04-15,105,23.7,21.1,2.134,0.0246,773.4,945.6,,19.34,20.50,0.29,15.3,23.4,23.9,1.2,0.110,766.7,1116.9,,16.80,0.24,15.8,26.1,23.4,1.3,,24.60,0.35
27,2018-04-23,113,19.2,20.6,1.615,0.0220,788.8,958.2,12.61,19.91,19.80,0.28,15.2,23.0,40.1,0.8,0.108,768.1,1125.2,30.26,16.80,0.24,16.2,26.6,33.9,1.0,25.53,24.10,0.34
28,2018-05-01,121,17.1,23.3,2.410,0.0207,697.3,813.2,7.25,13.43,15.90,0.24,17.8,25.3,34.3,1.3,0.105,693.8,967.5,23.72,15.70,0.24,18.6,28.6,31.6,1.5,18.24,15.10,0.23
29,2018-05-09,129,22.4,20.0,1.356,0.0189,583.9,818.3,8.70,15.79,21.00,0.25,15.2,22.6,48.4,0.6,0.103,802.0,1131.1,21.53,19.20,0.23,16.4,26.9,39.7,0.8,21.70,24.10,0.29
30,2018-05-17,137,17.4,17.9,0.956,0.0183,681.8,850.8,2.95,14.08,22.80,0.26,14.7,20.0,58.2,0.4,0.101,805.4,1114.7,14.63,19.20,0.22,16.0,24.1,46.8,0.6,17.70,20.20,0.23
31,2018-05-25,145,16.7,20.2,1.238,0.0176,790.7,952.1,-0.23,12.53,23.00,0.25,16.0,22.3,53.7,0.6,0.099,847.8,1129.2,13.75,21.10,0.23,17.6,26.4,43.4,0.8,11.05,23.70,0.26
32,2018-06-02,153,19.0,23.9,1.826,0.0171,851.4,976.7,-1.20,11.09,18.50,0.24,18.7,27.1,41.3,1.0,0.097,865.0,1139.7,11.25,17.20,0.23,20.4,31.8,32.6,1.4,12.26,16.60,0.22
33,2018-06-10,161,22.1,24.2,2.011,0.0166,755.8,902.8,-1.64,10.73,16.70,0.24,19.7,27.3,39.9,1.1,0.095,741.8,1030.9,8.75,14.90,0.22,21.2,31.8,33.5,1.5,7.49,17.70,0.26
34,2018-06-18,169,22.0,22.8,1.481,0.0162,866.1,982.5,-2.49,14.81,19.60,0.24,17.9,26.3,50.2,0.7,0.094,876.5,1141.1,10.31,17.40,0.22,19.7,31.1,38.7,1.1,3.13,20.70,0.26
35,2018-06-26,177,21.5,25.2,2.132,0.0155,906.5,994.7,-4.06,11.91,19.10,0.24,19.1,28.3,38.8,1.0,0.092,872.5,1148.8,,13.90,0.18,20.9,32.9,30.0,1.4,0.57,15.60,0.2
36,2018-07-04,185,22.7,31.4,3.705,0.0151,690.6,881.8,-4.28,7.71,10.50,0.22,26.9,34.6,26.9,2.3,0.091,673.4,1070.8,,8.60,0.19,28.1,38.4,23.6,2.7,5.47,10.60,0.23
37,2018-07-12,193,30.2,26.7,1.851,0.0160,781.2,945.8,-1.75,9.56,14.40,0.27,22.6,30.1,47.1,1.0,0.089,735.7,1083.7,,11.80,0.19,24.0,34.4,38.5,1.4,0.63,14.70,0.24
38,2018-07-20,201,24.7,30.5,2.880,0.0155,871.2,964.2,-5.67,8.97,15.00,0.24,25.6,34.5,36.0,1.7,0.089,819.4,1070.2,4.79,13.20,0.22,26.9,38.4,30.4,2.1,-6.93,14.50,0.24
39,2018-07-28,209,28.6,30.5,2.807,0.0156,831.7,957.4,-5.33,7.98,13.60,0.23,25.7,32.9,39.1,1.6,0.087,766.8,1049.2,9.05,12.70,0.22,26.9,36.8,33.4,2.0,-4.28,13.40,0.23
40,2018-08-05,217,29.3,32.2,3.361,0.0159,812.9,948.9,-5.71,8.20,13.40,0.24,27.1,34.3,33.1,2.0,0.086,760.4,1070.5,10.27,11.80,0.22,27.9,37.8,28.9,2.3,0.46,14.00,0.26
41,2018-08-13,225,29.8,27.3,1.619,0.0168,796.0,924.5,-6.52,13.45,16.50,0.24,22.9,29.4,54.4,0.8,0.084,757.6,1030.5,12.10,12.80,0.19,23.8,32.7,46.7,1.1,-1.14,14.90,0.22
42,2018-08-21,233,25.4,27.2,1.866,0.0172,818.9,929.0,-9.86,14.80,14.50,0.22,21.5,29.7,46.9,0.9,0.084,764.4,1039.9,5.04,14.10,0.22,22.2,32.8,40.5,1.1,-13.64,14.20,0.22
43,2018-08-29,241,25.3,26.7,2.123,0.0173,800.8,916.7,-10.78,12.08,13.70,0.22,21.2,29.1,42.6,1.1,0.083,747.8,1025.2,6.88,11.60,0.19,21.7,31.8,38.1,1.3,-12.66,13.20,0.22
44,2018-09-06,249,23.6,29.5,2.750,0.0173,804.6,911.7,-11.62,9.35,11.20,0.23,23.2,33.5,28.4,1.7,0.082,726.5,1003.9,5.03,8.90,0.19,23.4,36.3,25.1,1.8,-13.27,10.80,0.23
45,2018-09-14,257,27.8,28.9,2.967,0.0175,775.3,886.6,-10.48,5.35,11.40,0.22,22.5,31.6,26.4,1.6,0.082,676.7,940.9,7.61,8.80,0.18,22.4,33.9,24.5,1.7,-4.99,10.90,0.22
46,2018-09-22,265,26.1,26.0,2.083,0.0172,732.8,848.1,-10.37,5.98,11.20,0.21,21.0,29.8,41.0,1.2,0.083,633.1,884.9,7.93,8.80,0.17,20.9,31.9,37.8,1.2,-6.83,11.50,0.22
47,2018-09-30,273,23.4,22.8,1.282,0.0174,423.4,678.8,-12.23,4.95,11.70,0.21,19.6,25.5,55.8,0.7,0.081,358.0,737.5,5.15,7.60,0.14,19.6,26.9,52.7,0.7,-13.50,15.60,0.28
48,2018-10-08,281,20.5,20.8,1.397,0.0177,560.0,774.3,-14.10,5.76,13.00,0.26,16.4,23.1,49.8,0.6,0.080,497.4,836.4,10.16,12.60,0.21,16.1,24.1,49.6,0.6,-16.20,10.10,0.17
49,2018-10-16,289,19.3,25.1,2.713,0.0225,639.7,766.6,-13.61,6.17,11.10,0.22,19.2,27.6,24.7,1.5,0.080,544.7,809.2,5.40,6.10,0.12,18.4,27.5,26.2,1.4,-12.56,8.50,0.17
50,2018-10-24,297,22.3,26.3,2.856,0.0237,557.2,688.2,-8.15,4.98,9.00,0.22,19.7,29.6,26.4,1.5,0.082,498.8,783.7,9.55,5.90,0.15,18.7,29.3,27.7,1.3,-10.04,6.00,0.15
51,2018-11-01,305,23.7,24.1,2.425,0.0185,551.4,680.3,-7.70,6.19,7.40,0.17,18.4,27.4,29.3,1.3,0.080,463.0,728.3,10.61,5.90,0.14,17.3,26.9,30.9,1.2,-9.30,6.70,0.16
52,2018-11-09,313,21.7,23.1,3.043,0.0201,546.4,688.0,-9.04,6.13,8.80,0.15,17.9,27.7,10.1,1.8,0.040,396.4,616.0,10.72,4.60,0.11,16.8,26.2,12.1,1.6,-10.02,7.10,0.12
53,2018-11-17,321,,19.6,1.541,0.0187,459.8,604.0,,4.51,,,21.1,25.3,37.3,1.5,,,,,,,21.2,25.5,36.7,1.5,,,
